1	1001	La fin est un nouveau départ
2	2001	Couloir de la mort
3	3001	Désir de mort
4	4001	Cagnotte
5	5001	Enfant chéri
6	6001	La fibre animale
7	7001	L'union fait la force
8	8001	G.O. de groupes
9	9001	{@g:Groupeur fou/Groupeuse folle}
10	10001	Nouvelle recrue
11	11001	Du renfort solide
12	12001	Vous avez besoin de moi
13	13001	Je serai votre guide
14	14001	La victoire sera mienne
15	15001	Chef du peloton
16	16001	Tous ensemble, tous ensemble
17	17001	A deux, c'est mieux
18	18001	A nos actes manqués
19	19001	Jusqu'aux cents
20	20001	Un millier de monstres en moins
21	21001	Marquer les foules
22	22001	Filet 50 K
23	23001	Dix gros
24	24001	Cent gros
25	25001	Mille gros
26	26001	Cent petits
27	27001	Mille petits
28	28001	Dix mille petits
29	29001	Compétition
30	30001	Sports de compétition
31	31001	Compétition féroce
32	32001	Sur le fil de la victoire
33	33001	{@g:Bien affûté/Bien affûtée}
34	34001	Un côté compétitif
35	35001	La mort n'épargne personne
36	36001	Pochette d'allumettes
37	37001	Trompe-la-mort
38	38001	On ne change pas une équipe qui gagne
39	39001	Idole de l'équipe
40	40001	Le crack de l'équipe
41	41001	Voilà qui n'est point commun
42	42001	Fabuleux butin
43	43001	Fortune fortuite
44	44001	Oiseau rare
45	45001	Denrées rares
46	46001	Une compagnie rare
47	47001	La cour des grands I
48	48001	La cour des grands X
49	49001	La cour des grands L
50	50001	A la vitesse de la lumière
51	51001	Qui a besoin d'un soigneur ?
52	52001	Niveau 10
53	53001	Niveau 20
54	54001	Niveau 30
55	55001	Niveau 40
56	56001	Niveau 50
57	57001	La rhétorique de l'argent
58	58001	Espèces sonnantes et... convaincantes
59	59001	La parole est d'argent
60	60001	Le silence est d'or
61	61001	{@g:Meilleur Guerrier/Meilleure Guerrière}
62	62001	{@g:Meilleur Lancier/Meilleure Lancière}
63	63001	{@g:Meilleur Pourfendeur/Meilleure Pourfendeuse}
64	64001	{@g:Meilleur Berserker/Meilleure Berserker}
65	65001	{@g:Meilleur Sorcier/Meilleure Sorcière}
66	66001	{@g:Meilleur Archer/Meilleure Archère}
67	67001	{@g:Meilleur Prêtre/Meilleure Prêtresse}
68	68001	{@g:Meilleur Mystique/Meilleure Mystique}
69	69001	La loi des séries
70	70001	Série parfaite
71	71001	Un guerrier pas guéri
72	72001	{@g:Un Lancier rossé/Une lancière rossée}
73	73001	{@g:Un pourfendeur fendu/Une pourfendeuse fendue}
74	74001	Un berserker bizuté
75	75001	{@g:Un sorcier désossé/Une sorcière désossée}
76	76001	Un archer archi mort
77	77001	Un Prêtre pour proie
78	78001	{@g:Un mystique mystifié/Une mystique mystifiée}
79	79001	Le grand vainqueur
80	80001	Moi d'abord
81	81001	Laissez-moi vous aider
82	82001	Négocié avec un cadavre
83	83001	Vanarch
84	84001	De nouveau Vanarch
85	85001	C'est qui le chef ?
86	86001	Malin, l'enchanteur !
87	87001	Votre petit plus
88	88001	La règle de 3
89	89001	Grosse pointure
90	90001	La preuve par 9
91	91001	Maître de la négociation
92	92001	Maître de la vente
93	93001	{@g:Rompu/Rompue}
94	94001	Chef de guerre
95	95001	De guerre lasse
96	96001	Quelle classe !
97	97001	{@g:Explorateur/Exploratrice} des îles
98	98001	Routard d'Arun
99	99001	Pavane jusque chez Lian
100	100001	{@gender:Apprenti forgeron/Apprentie forgeronne}
101	101001	{@g:Artisan forgeron/Artisane forgeronne}
102	102001	{@g:Forgeron/Forgeronne} de métier
103	103001	Forgeron d'armes classique
104	104001	{@gender:Apprenti fabricant/Apprentie fabricante} d'armes à distance
105	105001	{@g:Artisan fabricant/Artisane fabricante} d'armes à distance
106	106001	{@g:Fabricant/Fabricante} d'armes à distance de métier
107	107001	Forgeron d'armes à distance classique
108	108001	{@gender:Apprenti armurier/Apprentie armurière}
109	109001	{@g:Artisan armurier/Artisane armurière}
110	110001	{@g:Armurier/Armurière} de métier
111	111001	Forgeron d'armure classique
112	112001	{@gender:Apprenti tanneur/Apprentie tanneuse}
113	113001	{@g:Artisan tanneur/Artisane tanneuse}
114	114001	{@g:Tanneur/Tanneuse} de métier
115	115001	Tanneu{@gender:r/se} classique
116	116001	{@gender:Apprenti tailleur/Apprentie tailleuse}
117	117001	{@g:Artisan tailleur/Artisane tailleuse}
118	118001	{@g:Tailleur/Tailleuse} de métier
119	119001	Tailleu{@gender:r/se} classique
120	120001	Touche-à-tout
121	121001	Mineur minot
122	122001	{@g:Mineur moyen/Mineure moyenne}
123	123001	{@g:Mineur majeur/Mineure majeure}
124	124001	Maître mineur
125	125001	Lymphatique
126	126001	Energique
127	127001	Plein d'énergie
128	128001	{@g:Débordant d'énergie/Débordante} d'énergie
129	129001	Jeune pousse
130	130001	Arbrisseau
131	131001	Arbuste
132	132001	Vieille branche
133	133001	Maître des matériaux
134	134001	Je ne suis pas seul
135	135001	Cercle d'amis
136	136001	Réseau social
137	137001	Un peu de repos
138	138001	Cro'quête
139	139001	Bar'quête
140	140001	Les secrets de la légende
141	141001	De l'argent de poche
142	142001	Par ici la monnaie
143	143001	Récompense finale
