1	Redcap	false
2	Furious Faerie	false
3	Centaur	false
4	Slinking Sabertooth	false
5	Hulking Sabertooth	false
6	Sullen Unicorn	false
7	Warthog Brute	false
8	Hogling	false
10	Merciless Jalmarak	false
13	Centaur Insurgent	false
21	Lumbering Ghilliedhu	false
22	Lumbering Sporewalker	false
23	Feisty Terron	false
24	Annoying Stonebeak	false
32	Bloated Sporewalker	false
33	Terron Lunatic	false
34	Sabertooth	false
52	Faerie Vigilante	false
54	Ravenous Sabertooth	false
56	Feral Unicorn	false
57	Long Tusk Warthog	false
58	Armored Hogling	false
59	Runaway Pigling	false
62	Faerie Rebel	false
102	Faerie Renegade	false
152	Faerie Insurgent	false
201	Grelnak	false
202	Faerie Guardians	false
203	Likhan	false
206	Seravy	false
208	Hogling Trufflehunters	false
209	Dark Sorcerer	false
210	Cruel Sorcerer	false
221	Emberbark	false
256	Seravy	false
259	Garkior	false
260	Cruel Sorcerer	false
507	Garash Bloodtusk	false
510	Tradon	false
1001	Marasuul	false
1002	Woodcutter	false
