1001	Tamaru	false
1002	Inigo	false
1003	Fezzik	false
1004	Crate	false
1005	Provision Box	false
1006	Denelle	false
1007	Milisia	false
1008	Ayala	false
1009	Madron	false
1010	Amallen	false
1011	Kamran	false
1012	Bruke	false
1013	Mission Board	false
1014	Mission Board	false
1015	Tarusol	false
1016	Cimen	false
1017	Tunvi	false
1018	Tomti	false
1019	Brohua	false
1020	Jelena	false
1021	Kirun	false
1022	Panpi	false
1023	Moimui	false
1024	Tetrask	false
1025	Moimui	false
1026	Tetrask	false
1027	Bedoram	false
1028	Mad Blood Disease Research Device	false
1029	Myrol	false
1200	Pamti	false
1300	Soros	false
1301	Rokun	false
1700	Guard	false
