2100	Akalath Quarantine	0
2101	Larvae Hatchery	0
2102	Cliffside Prison	0
2103	Black Core Engine Room	0
2105	Kalligar's Arena (Solo)	0
2106	Catalepticon (Solo)	0
2501	Campaign Stage 1	0
2502	Campaign Stage 2	0
2503	Campaign Stage 3 - Nightmare of Trellum Consurgo	0
2504	Campaign Stage 4 - Black Core Engine Room	0
2530	Hero Training Ground	0
3001	Bastion of Lok (Solo)	0
3002	Sinestral Manor (Solo)	0
3003	Cultists' Refuge (Solo)	0
3004	Necromancer Tomb (Solo)	0
3005	Golden Labyrinth (Solo)	0
3006	Akasha's Hideout (Solo)	0
3007	Saleron's Sky Garden (Solo)	0
3008	Labyrinth of Terror (Solo)	0
3009	Ebon Tower (Solo)	0
3010	Kelsaik's Nest (Solo)	0
3011	Manaya's Core (Solo)	0
3012	Training Ground	0
3016	Lilith's Trial	70
3020	Sea of Honor	0
3023	Akalath Quarantine	200
3024	Azart Hatchery	0
3025	Azart Hatchery (Hard)	0
3026	Corrupted Skynest	280
3027	Forbidden Arena [Hagufna]	280
3028	Grotto of Lost Souls (Hard) (Guide)	0
3029	Antaroth's Abyss (Hard) (Guide)	0
3030	Commander’s Residence	300
3031	Outer Core District	0
3032	Akalath Quarantine (Guide)	0
3033	Gossamer Vault (Hard) (Guide)	0
3034	Rampaging RK-9 Kennel	0
3035	Velik’s Sanctum	0
3036	Sky Cruiser (Hard)	230
3037	Bahaar's Sanctum (Guide)	0
3039	Hub	0
3040	Lumikan's Trial	400
3041	Damned Citadel	200
3042	Gardan's Trial	400
3043	Harnovog's Trial	400
3101	Gossamer Vault	180
3102	Draakon Arena	280
3103	Forbidden Arena [Undying Warlord]	280
3104	Catalepticon	280
3106	Killing Grounds	280
3126	Corrupted Skynest (Hard) Entrance	350
3201	Gossamer Vault (Hard)	220
3202	Draakon Arena (Hard)	150
3203	Forbidden Arena [Nightmare Undying Warlord]	150
3204	Catalepticon (Hard)	350
3206	Crimson Killing Grounds	350
8999	Velik's Sanctuary	0
