190910;Common;Common;Priest;Healing Immersion II
370210;Common;Common;Priest;Focus Heal IX
300100;Common;Common;Berserker;Axe counter?
21110;Common;Common;Archer;Arrow Volley XI
6221107;Common;Common;Reaper;Veil of shadows
240120;Common;Common;Lancer;Master's Leash II
100100;Common;Common;Archer;Stunning Trap I
100100;Common;Common;Berserker;Cyclone I
100100;Common;Common;Gunner;Arc Bomb I
100100;Common;Common;Lancer;Debilitate I
100100;Common;Common;Mystic;Resurrect
100100;Common;Common;Priest;Purifying Circle
100100;Common;Common;Reaper;Pendulum Strike I
100100;Common;Common;Slayer;Retaliate I
100100;Common;Common;Sorcerer;Mana Barrier I
100100;Common;Common;Warrior;Death From Above I
100130;Common;Common;Reaper;Pendulum Strike I
100200;Common;Common;Archer;Stunning Trap II
100200;Common;Common;Berserker;Cyclone II
100200;Common;Common;Gunner;Arc Bomb II
100200;Common;Common;Lancer;Debilitate II
100200;Common;Common;Reaper;Pendulum Strike II
100200;Common;Common;Slayer;Retaliate II
100200;Common;Common;Sorcerer;Mana Barrier II
100200;Common;Common;Warrior;Death From Above II
100230;Common;Common;Reaper;Pendulum Strike II
100300;Common;Common;Archer;Stunning Trap III
100300;Common;Common;Berserker;Cyclone III
100300;Common;Common;Gunner;Arc Bomb III
100300;Common;Common;Lancer;Debilitate III
100300;Common;Common;Slayer;Retaliate III
100300;Common;Common;Sorcerer;Mana Barrier III
100300;Common;Common;Warrior;Death From Above III
100400;Common;Common;Archer;Stunning Trap IV
100400;Common;Common;Berserker;Cyclone IV
100400;Common;Common;Gunner;Arc Bomb IV
100400;Common;Common;Slayer;Retaliate IV
100400;Common;Common;Warrior;Death From Above IV
100420;Common;Common;Archer;Stunning Trap IV
100500;Common;Common;Berserker;Cyclone V
100500;Common;Common;Gunner;Arc Bomb V
100500;Common;Common;Slayer;Retaliate V
100500;Common;Common;Warrior;Death From Above V
100600;Common;Common;Berserker;Cyclone VI
100600;Common;Common;Gunner;Arc Bomb VI
100600;Common;Common;Slayer;Retaliate VI
100600;Common;Common;Warrior;Death From Above VI
100700;Common;Common;Berserker;Cyclone VII
100700;Common;Common;Gunner;Arc Bomb VII
100700;Common;Common;Slayer;Retaliate VII
100700;Common;Common;Warrior;Death From Above VII
100800;Common;Common;Berserker;Cyclone VIII
100800;Common;Common;Gunner;Arc Bomb VIII
100800;Common;Common;Slayer;Retaliate VIII
100900;Common;Common;Berserker;Cyclone IX
100900;Common;Common;Gunner;Arc Bomb IX
100900;Common;Common;Slayer;Retaliate IX
101000;Common;Common;Berserker;Cyclone X
101000;Common;Common;Gunner;Arc Bomb X
101000;Common;Common;Slayer;Retaliate X
10100;Common;Common;Archer;Arrow I
10100;Common;Common;Berserker;Combo Attack I
10100;Common;Common;Gunner;Blast I
10100;Common;Common;Lancer;Combo Attack I
10100;Common;Common;Mystic;Sharan Bolt I
10100;Common;Common;Priest;Divine Radiance I
10100;Common;Common;Reaper;Spiral Barrage I
10100;Common;Common;Slayer;Combo Attack I
10100;Common;Common;Sorcerer;Fireball I
10100;Common;Common;Warrior;Combo Attack I
10101;Common;Common;Reaper;Spiral Barrage I
10102;Common;Common;Reaper;Spiral Barrage I
10103;Common;Common;Reaper;Spiral Barrage I
10104;Common;Common;Reaper;Spiral Barrage I
10105;Common;Common;Reaper;Spiral Barrage I
101100;Common;Common;Berserker;Cyclone XI
101100;Common;Common;Gunner;Arc Bomb XI
101113;Common;Common;Berserker;Cyclone
101124;Common;Common;Gunner;Arc Bomb
10200;Common;Common;Archer;Arrow II
10200;Common;Common;Berserker;Combo Attack II
10200;Common;Common;Gunner;Blast II
10200;Common;Common;Lancer;Combo Attack II
10200;Common;Common;Mystic;Sharan Bolt II
10200;Common;Common;Priest;Divine Radiance II
10200;Common;Common;Reaper;Spiral Barrage II
10200;Common;Common;Slayer;Combo Attack II
10200;Common;Common;Sorcerer;Fireball II
10200;Common;Common;Warrior;Combo Attack II
10201;Common;Common;Reaper;Spiral Barrage II
10202;Common;Common;Reaper;Spiral Barrage II
10203;Common;Common;Reaper;Spiral Barrage II
10204;Common;Common;Reaper;Spiral Barrage II
10205;Common;Common;Reaper;Spiral Barrage II
10300;Common;Common;Archer;Arrow III
10300;Common;Common;Berserker;Combo Attack III
10300;Common;Common;Gunner;Blast III
10300;Common;Common;Lancer;Combo Attack III
10300;Common;Common;Mystic;Sharan Bolt III
10300;Common;Common;Priest;Divine Radiance III
10300;Common;Common;Reaper;Spiral Barrage III
10300;Common;Common;Slayer;Combo Attack III
10300;Common;Common;Sorcerer;Fireball III
10300;Common;Common;Warrior;Combo Attack III
10301;Common;Common;Reaper;Spiral Barrage III
10302;Common;Common;Reaper;Spiral Barrage III
10303;Common;Common;Reaper;Spiral Barrage III
10304;Common;Common;Reaper;Spiral Barrage III
10305;Common;Common;Reaper;Spiral Barrage III
10400;Common;Common;Archer;Arrow IV
10400;Common;Common;Berserker;Combo Attack IV
10400;Common;Common;Gunner;Blast IV
10400;Common;Common;Lancer;Combo Attack IV
10400;Common;Common;Mystic;Sharan Bolt IV
10400;Common;Common;Priest;Divine Radiance IV
10400;Common;Common;Slayer;Combo Attack IV
10400;Common;Common;Sorcerer;Fireball IV
10400;Common;Common;Warrior;Combo Attack IV
10500;Common;Common;Archer;Arrow V
10500;Common;Common;Berserker;Combo Attack V
10500;Common;Common;Gunner;Blast V
