010101;Human Male Warrior
010102;Human Male Lancer
010103;Human Male Slayer
010104;Human Male Berserker
010105;Human Male Sorcerer
010106;Human Male Archer
010107;Human Male Priest
010108;Human Male Mystic
010201;Human Female Warrior
010202;Human Female Lancer
010203;Human Female Slayer
010204;Human Female Berserker
010205;Human Female Sorcerer
010206;Human Female Archer
010207;Human Female Priest
010208;Human Female Mystic
010301;High Elf Male Warrior
010302;High Elf Male Lancer
010303;High Elf Male Slayer
010304;High Elf Male Berserker
010305;High Elf Male Sorcerer
010306;High Elf Male Archer
010307;High Elf Male Priest
010308;High Elf Male Mystic
010401;High Elf Female Warrior
010402;High Elf Female Lancer
010403;High Elf Female Slayer
010404;High Elf Female Berserker
010405;High Elf Female Sorcerer
010406;High Elf Female Archer
010407;High Elf Female Priest
010408;High Elf Female Mystic
010410;High Elf Female Gunner
010501;Aman Male Warrior
010502;Aman Male Lancer
010503;Aman Male Slayer
010504;Aman Male Berserker
010505;Aman Male Sorcerer
010506;Aman Male Archer
010507;Aman Male Priest
010508;Aman Male Mystic
010601;Aman Female Warrior
010602;Aman Female Lancer
010603;Aman Female Slayer
010604;Aman Female Berserker
010605;Aman Female Sorcerer
010606;Aman Female Archer
010607;Aman Female Priest
010608;Aman Female Mystic
010701;Castanic Male Warrior
010702;Castanic Male Lancer
010703;Castanic Male Slayer
010704;Castanic Male Berserker
010705;Castanic Male Sorcerer
010706;Castanic Male Archer
010707;Castanic Male Priest
010708;Castanic Male Mystic
010801;Castanic Female Warrior
010802;Castanic Female Lancer
010803;Castanic Female Slayer
010804;Castanic Female Berserker
010805;Castanic Female Sorcerer
010806;Castanic Female Archer
010807;Castanic Female Priest
010808;Castanic Female Mystic
010810;Castanic Female Gunner
010901;Popori Warrior
010902;Popori Lancer
010903;Popori Slayer
010904;Popori Berserker
010905;Popori Sorcerer
010906;Popori Archer
010907;Popori Priest
010908;Popori Mystic
011001;Elin Warrior
011002;Elin Lancer
011003;Elin Slayer
011004;Elin Berserker
011005;Elin Sorcerer
011006;Elin Archer
011007;Elin Priest
011008;Elin Mystic
011009;Elin Reaper
011101;Baraka Warrior
011102;Baraka Lancer
011103;Baraka Slayer
011104;Baraka Berserker
011105;Baraka Sorcerer
011106;Baraka Archer
