1;Ruinweald 
2;Fey Forest
3;Oblivion Woods
4;Fyrmount
5;Tuwangi Mire
6;Valley of Titans
7;Celestial Hills
8;Hungry Caverns
9;Ascension Valley
10;Serpentis Isle
11;Jagged Coast
12;Mistmoor Island
13;Island of Dawn
15;Cliffs of Insanity
16;Vale of the Fang
17;Paraanon Ravine
18;Colossal Ruins
19;Freeholds
20;Tenebrous Mines
21;Basilisk Crag
22;Eldritch Academy Grounds
23;Lake of Tears
24;Aurum Road
25;Dark Cathedral
26;Blessing Basin
27;Essenian Crest
28;Blightwood
29;Timeless Woods 
30;Balder's Refuge
31;Tempest Reach 
32;Mount Tyrannas
33;Citadel of Torment
34;Frost Reach
35;Wyrmgorge
36;Tor Exsul 
37;Doomcrypt
38;Sienna Canyon
39;Arachnaea
40;Quarantine Zone
41;Feral Valley
42;Temple of Dagon
43;Cathuulrach
44;Ebonmaw
45;Thrallhold
46;Three Towers
47;Tirkai Forest
48;Khanovar Front
49;Argonea
50;Granarkus
51;Vale of Spires 
52;Plain of the Damned
53;Labyrinth of Terror
54;Seeliewood
55;Darkquaver Woods
56;Susurrus Woods
57;Amena Quatla
58;Balderon
59;Crescentia
60;Lumbertown
61;Castanica
62;Cutthroat Harbor
63;Velika
64;Tower Base
65;Chebika
66;Tulufan
67;Popolion
68;Pora Elinu
69;Tralion
70;Tria
71;Bastion
72;Allemantheia
73;Acarum
74;Elenea
75;Frontera
76;Kanstria
77;Pathfinder Post
78;Zulfikar Fortress
79;Habere
80;Dragonfall
81;Scythera Fae
83;Bleakrock
84;Kaiator
85;Davarn's Refuge
121;Free Traders Territory
122;Enlightened Union Territory
123;Iron Order Territory
124;Vault of Seas
125;Vault of Winter
126;Vault of Flames
127;Vault of Allies
151;Noctenium Research Grounds
191;Trellum Consurgo
975;Kelsaik's Raid (20-Person Raid)
911;Kelsaik's Raid (10-Person Raid) 
401;Samael's Residence
402;Fountain of Shara
403;Fyrmount Abyss
404;Highlands of the Beast
405;Crypt of Restraint
407;Hidden Shrine
408;Malachai's Lab
410;Kaiator Headquarters
411;Workshop of the Blacksmith
412;Three Towers Spires
413;Argon Commanding Fortress
414;Khanovar Gauntlet
416;Island of Dawn (Prologue)
417;Lighthouse of the Sun
418;Frontline Underground Tunnel
419;Hills of Divine Knowledge
421;Tenebrous Mines
422;Colossal Ruins
423;Azarel's Labyrinth
424;Fane of Kaprima (Event)
425;Balder's Temple
426;Argon Corpus
427;Manaya's Core (Hard)
428;Malachai's Lab
429;VoK
436;Karascha's Lair
437;Tainted Gorge Bridge
438;Mysterious Jungle
439;Caravan Ambush Site
440;Velika Plaza
441;Velika Eastern Gate
442;Velika Headquarters
443;Wonderholme (Hard)
445;Bluefirst Mountain
446;Accursed Oasis
447;Harvest Festival Hall
451;Squalid Temple
452;Banquet of Blood
453;Kezzel's Gorge
455;RG
457;AIHM
461;Ruin of the Giants
462;Jester's Villa
463;Susurrus Woods
464;Molten Chamber
465;Twilight Valley
471;Necromancer Tomb
472;Golden Labyrinth
473;Ebon Tower
474;Sanctum of Resurrection
475;Kelsaik's Nest
476;Labyrinth of Terror
477;Batu Desert
478;Suryati's Peak
479;Saravash's Ascent
480;Sigil Adstringo
481;Training Grounds
456;TSHM
482;Temple of Temerity
483;Breaching Grounds
487;Bastion of Lok
488;Sinestral Manor
489;Cultists' Refuge
490;Woodland Path
491;Altar of Vadoma
492;Dagon's Chantry
493;Akasha's Hideout
494;Saleron's Sky Garden
495;Crucible of Flame
496;Sirjuka Gallery
724;Fane of Kaprima (Hard)
725;Balder's Temple (Hard)
726;Argon Corpus (Hard)
181;Havenstone Ruins
727;Manaya's Core
743;Wonderholme (Hard)
756;TSNM
754;ABNM
766;SF
773;Ebon Tower (Hard)
775;Kelsaik's Nest (Hard)
776;Labyrinth of Terror (Hard)
793;Akasha's Hideout (Hard)
801;Nexus Traverse
1022;Nexus
777;Channelworks
825;Balder's Temple (Solo)
811;The Abscess
810;Lakan's Prison
450;Rift's Edge (Hard)
750;Rift's Edge
887;Bastion of Lok (1 person)
888;Sinestral Manor (1 person)
889;Cultists' Refuge (1 person)
871;Necromancer Tomb (1 person)
872;Golden Labyrinth (1 person)
873;Ebon Tower (1 person)
808;Sabex Armory (Lv. 62)
809;Macellarius Catacombs (Lv. 64)
916;SCHM
