50100	Stress	icon_status.minusattack_tex	Eure Kraft wurde durch übermäßiges Kämpfen gesenkt. Ihr müsst rasten.
50200	Müdigkeit	icon_status.exhaustion_tex	Müdigkeit hat Eure maximalen LP und MP verringert. Ihr müsst rasten.
50300	Lebenskraft	icon_status.merit_tex	Ihr fühlt Euch erholt und voller Energie. Eure maximalen LP und MP sind erhöht.
51100	Kleiner Talisman der Kraft	icon_items.mysterypaper1_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Kraft.
51110	Großer Talisman der Kraft	icon_items.mysterypaper2_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Kraft.
51120	Bedeutender Talisman der Kraft	icon_items.mysterypaper3_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Kraft.
51130	Mächtiger Talisman der Kraft	icon_items.mysterypaper4_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Kraft.
51140	Balders Talisman der Kraft	icon_items.mysterypaper4_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Kraft.
51150	Talismantrio: Kraft	icon_items.mysterypaper4_tex	Im Kampf erhöht dieser verbrannte Talisman Eure Kraft. Bei voller Audauer hält der Effekt bis zu 30 Minuten lang an. Die Stärke des Effekts hängt von Eurer Ausdauerstufe ab.
51200	Kleiner Talisman der Kühnheit	icon_items.mysterypaper1_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Euren kritischen Trefferwert.
51210	Großer Talisman der Kühnheit	icon_items.mysterypaper2_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Euren kritischen Trefferwert.
51220	Bedeutender Talisman der Kühnheit	icon_items.mysterypaper3_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Euren kritischen Trefferwert.
51230	Mächtiger Talisman der Kühnheit	icon_items.mysterypaper4_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Euren kritischen Trefferwert.
512300		icon_items.mysterypaper4_tex	
51300	Kleiner Talisman der Geschwindigkeit	icon_items.mysterypaper1_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Angriffsgeschwindigkeit.
51310	Großer Talisman der Geschwindigkeit	icon_items.mysterypaper2_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Angriffsgeschwindigkeit.
51320	Bedeutender Talisman der Geschwindigkeit	icon_items.mysterypaper3_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Angriffsgeschwindigkeit.
51330	Mächtiger Talisman der Geschwindigkeit	icon_items.mysterypaper4_tex	Wenn Ihr kämpft, erhöht dieser verbrannte Talisman Eure Angriffsgeschwindigkeit.
