21000	Evasive Roll	icon_skills.tumbling_tex	Swift Evasive Roll	icon_crest.e_crestactiveattackspeedup_tex	30% chance to increase Attack Speed by 15% for 10 seconds.
21001	Retaliate	icon_skills.risingattack_tex	Energetic Retaliate	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 20%.
21002	Death From Above	icon_skills.evasionattack_tex	Energetic Death From Above	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 30%.
21003	Mangle	icon_skills.aimingankle_tex	Test	icon_skills.voidtrap_tex	No Effect
21004	Combo Attack	icon_skills.comboattack_tex	Threatening Combo Attack	icon_crest.e_crestpassiveaggroup_tex	Increases aggro by 5%.
21005	Torrent of Blows	icon_skills.nanmu_tex	Threatening Torrent of Blows	icon_crest.e_crestpassiveaggroup_tex	Increases aggro by 20%.
21006	Rain of Blows	icon_skills.pointattack_tex	Empowered Rain of Blows	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21007	Leaping Strike	icon_skills.downblowattack_tex	Empowered Leaping Strike	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21008	Poison Blade	icon_skills.poisonblowattack_tex	Virulent Poison Blade	icon_crest.e_crestpassiveskilleffectup_tex	Increases poison damage by 15%.
21009	Defensive Stance	icon_skills.ironwillb_tex	Grounded Defensive Stance	icon_crest.e_crestpassiveskilleffectup_tex	Increases Endurance by 10%.
21010	Retaliate	icon_skills.risingattack_tex	Empowered Retaliate	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21011	Torrent of Blows	icon_skills.nanmu_tex	Influential Torrent of Blows	icon_crest.e_crestnextskillmpdown_tex	Reduces MP cost of Rain of Blows by 88 for a few seconds.
21012	Retaliate	icon_skills.risingattack_tex	Influential Retaliate	icon_crest.e_crestnextskillmpdown_tex	Reduces MP cost of Leaping Strike by 75 for a few seconds.
21013	Combo Attack	icon_skills.comboattack_tex	Spirited Combo Attack	icon_crest.e_crestpassivemprecoveryup_tex	Increases MP replenishment by 35%.
21014	Death From Above	icon_skills.evasionattack_tex	Swift Death From Above	icon_crest.e_crestactiveattackspeedup_tex	50% chance to increase Attack Speed by 15% for 10 seconds.
21015	Evasive Roll	icon_skills.tumbling_tex	Affirmative Evasive Roll	icon_crest.e_crestactivecooltimereset_tex	Reduces RE cost by 100.
21016	Battle Cry	icon_skills.thunderingroar_tex	Energetic Battle Cry	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 20%.
21017	Rain of Blows	icon_skills.pointattack_tex	Restorative Rain of Blows	icon_crest.e_crestpassivehpheal_tex	Recovers 0.5% of total HP per successful hit.
21018	Combative Strike	icon_skills.aggravatingstrike_tex	Sanative Combative Strike	icon_crest.e_crestpassivehpdown_tex	Decreases HP consumption by 50%.
21019	Vortex Slash	icon_skills.allroundslash_tex	Empowered Vortex Slash	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21020	Charging Slash	icon_skills.rushingslash_tex	Energetic Charging Slash	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 25%.
21021	Assault Stance	icon_skills.ironwilla_tex	Test	icon_skills.voidtrap_tex	No Effect
21022	Rising Fury	icon_skills.tenaciousattack_tex	Persistent Rising Fury	icon_crest.e_crestactivecooltimereset_tex	25% chance to eliminate cooldown.
21023	Smoke Aggressor	icon_skills.decoy_tex	Energetic Smoke Aggressor	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 20%.
21024	Backstab	icon_skills.backattack_tex	Lingering Backstab	icon_crest.e_crestpassivedurationup_tex	Increases effect duration by 50%.
21025	Deadly Gamble	icon_skills.deadlywill_tex	Energetic Deadly Gamble	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 25%.
21026	Staggering Counter	icon_skills.reversalturningattack_tex	Empowered Staggering Counter	icon_crest.e_crestpassiveattackup_tex	Increases skill damage by 25%.
21027	Cascade of Stuns	icon_skills.hardslash_tex	Brilliant Cascade of Stuns	icon_crest.e_crestpassivempdown_tex	Reduces MP cost by 88.
21028	Combative Strike	icon_skills.aggravatingstrike_tex	Powerlinked Combative Strike	icon_crest.e_crestnextskillattackup_tex	Increases skill damage of Rising Fury by 20% for a few seconds.
21029	Charging Slash	icon_skills.rushingslash_tex	Influential Charging Slash	icon_crest.e_crestnextskillmpdown_tex	Reduces MP cost of Poison Blade by 50 for a few seconds.
21030	Cascade of Stuns	icon_skills.hardslash_tex	Influential Cascade of Stuns	icon_crest.e_crestnextskillmpdown_tex	Reduces MP cost of Rain of Blows by 88 for a few seconds.
21031	Cascade of Stuns	icon_skills.hardslash_tex	Powerlinked Cascade of Stuns	icon_crest.e_crestnextskillattackup_tex	Increases skill damage of Rain of Blows by 20% for a few seconds.
21032	Cascade of Stuns	icon_skills.hardslash_tex	Energetic Cascade of Stuns	icon_crest.e_crestactivecooltimereset_tex	Decreases cooldown by 25%.
21033	Rising Fury	icon_skills.tenaciousattack_tex	Numbing Rising Fury	icon_crest.e_crestactiveattackspeeddown_tex	10% chance to decrease an opponent's Attack Speed by 15% for 7 seconds.
21034	Torrent of Blows	icon_skills.nanmu_tex	Binding Torrent of Blows	icon_crest.e_crestactivespeeddown_tex	25% chance to immobilize target for 4 seconds.
21035	Charging Slash	icon_skills.rushingslash_tex	Powerlinked Charging Slash	icon_crest.e_crestnextskillattackup_tex	Increases skill damage of Combative Strike by 20% for a few seconds.
21036	Backstab	icon_skills.backattack_tex	Energetic Backstab	icon_crest.e_crestpassivecooltimedown_tex	Decreases cooldown by 25%.
21037	Staggering Counter	icon_skills.reversalturningattack_tex	Lingering Staggering Counter	icon_crest.e_crestpassivedurationup_tex	Increases effect duration by 50%.
21038	Staggering Counter	icon_skills.reversalturningattack_tex	Energetic Staggering Counter	icon_crest.e_crestactivecooltimereset_tex	Decreases cooldown by 20%.
21039	Combo Attack	icon_skills.comboattack_tex	Sapping Combo Attack	icon_crest.e_crestactivestun_tex	5% chance to stun target for 2 seconds.
21040	Battle Cry	icon_skills.thunderingroar_tex	Hastened Battle Cry	icon_crest.e_crestpassiveskillspeedup_tex	Speeds casting by 50%.
21041	Battle Cry	icon_skills.thunderingroar_tex	Lucky Battle Cry	icon_crest.e_crestpassivethorns_tex	Increases chance of effect by 10%.
21042	Battle Cry	icon_skills.thunderingroar_tex	Threatening Battle Cry	icon_crest.e_crestpassiveaggroup_tex	Increases aggro by 100%.
21043	Combative Strike	icon_skills.aggravatingstrike_tex	Lingering Combative Strike	icon_crest.e_crestpassivedurationup_tex	Increases effect duration by 50%.
21044	Combative Strike	icon_skills.aggravatingstrike_tex	Powerlinked Combative Strike	icon_crest.e_crestnextskillattackup_tex	Increases skill damage of Leaping Strike by 35% for a few seconds.
21045	Vortex Slash	icon_skills.allroundslash_tex	Persistent Vortex Slash	icon_crest.e_crestactivecooltimereset_tex	30% chance to eliminate cooldown.
21046	Evasive Roll	icon_skills.tumbling_tex	Mending Evasive Roll	icon_crest.e_crestnextskillhpheal_tex	Recovers 3% of total HP when you follow up with Poison Blade.
21047	Death From Above	icon_skills.evasionattack_tex	Test	icon_skills.voidtrap_tex	No Effect
21048	Pounce	icon_skills.heavybite_tex	Hastened Pounce	icon_crest.e_crestactiveattackspeedup_tex	Speeds casting by 30%.
