1	Power	Debuff	False	perc	100000	0	0.1	Clear Conscience			Decreases Power and Attack to 90%.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
2	Power	Buff	True	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
2	Endurance	Buff	True	perc	180000000	0	100	Promo BAM Buff			Increases your awesomeness when beating down Big-Ass Monsters.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
4	Stun	Buff	True	swch	3600000	0	4	Stun Bomb	7215	Stun Bomb	Stun effect	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
5	Drunk1	Debuff	True	seta	100000	0	0	Non-Effect Debuff			Non-effect debuff	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
6	Immune	Debuff	True	seta	100000	0	0	Damage Absolute Invincibility			Damage absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
7	Stun	Debuff	True	seta	100000	0	5	Damage Half Invincibility			Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
7	Immune	Debuff	True	abs	100000	0	0	Damage Half Invincibility			Damage half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
8	Immune	Debuff	True	setp	100000	0	0	Debuff Absolute Invincibility			Debuff absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
9	Immune	Debuff	True	8	100000	0	0	Debuff Half Invincibility			Debuff half invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
10	Immune	Debuff	True	16	100000	0	0	Reaction Absolute Invincibility			Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
10	StatusImmune	Debuff	True	swch	100000	0	0	Reaction Absolute Invincibility			Reaction absolute invincibility	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex
11	Immune	Debuff	True	26	60000	0	0	Stone Skin			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex
11	StunKnockDown	Debuff	True	seta	60000	0	6	Stone Skin			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex
11	StatusImmune	Debuff	True	swch	60000	0	0	Stone Skin			Stone	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex
12	Immune	Debuff	True	21	10000	0	0	Vortex Prison			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex
12	StunKnockDown	Debuff	True	seta	10000	0	5	Vortex Prison			Vortex	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex
