1	Power	Debuff	False	perc	100000	0	0.1	더미_이상상태			유명한 무법자가 되었습니다.$BR휴식의 신관, 휴식의 신장, 사냥터 이동 관리인, 페가수스 이동 메뉴를 사용 할 수 없습니다.$BR사망 시 크리스탈 파괴 판정 횟수가 증가합니다.$BR컨디션 감소량이 증가합니다.$BR힘이 $H_W_BAD90%$COLOR_END 감소되며 맷집이 $H_W_BAD90% (unk2)$COLOR_END 감소됩니다 또한 이동속도가 $H_W_BAD90% (unk3)$COLOR_END 감소됩니다.$BR악명이 0일때 비 전투 상태를 60초 동안 유지하면 유명한 무법자 상태가 해제됩니다.	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
4	Stun	Buff	True	swch	3600000	0	5	테스트용 폭탄	7215	테스트 용 폭탄	스턴 효과	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
5	Drunk1	Debuff	True	seta	100000	0	0	효과가 없는 이상상태			효과가 없는 이상상태	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
6	Immune	Debuff	True	seta	100000	0	0	데미지 완전 무적			데미지 완전 무적	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Stun	Debuff	True	seta	100000	0	5	데미지 하프 무적			데미지 하프 무적	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
7	Immune	Debuff	True	abs	100000	0	0	데미지 하프 무적			데미지 하프 무적	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
8	Immune	Debuff	True	setp	100000	0	0	이상상태 완전 무적			이상상태 완전 무적	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
9	Immune	Debuff	True	8	100000	0	0	이상상태 하프 무적			이상상태 하프 무적	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
10	Immune	Debuff	True	16	100000	0	0	리액션 완전 무적			리액션 완전 무적	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
11	Immune	Debuff	True	26	60000	0	0	암석화			스톤	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
11	StunKnockDown	Debuff	True	seta	60000	0	6	암석화			스톤	icon_skills.stoneshape_tex	icon_skills.voidtrap_tex	True
12	Immune	Debuff	True	21	10000	0	0	회오리 감옥			회오리	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	StunKnockDown	Debuff	True	seta	10000	0	5	회오리 감옥			회오리	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
12	247	Debuff	True	perc	10000	0	100	회오리 감옥			회오리	icon_skills.tornadoprison_tex	icon_skills.voidtrap_tex	True
13	Immune	Debuff	True	20	60000	0	0	여신강림			여신 강림	icon_skills.adventgoddess_tex	icon_skills.voidtrap_tex	True
15	OutOfCombatMovSpd	Buff	True	abs	600000	0	10	속보			평화 상태에서의 이동 속도가 $H_W_GOOD10.0$COLOR_END 향상됩니다.	icon_skills.fastwalk_tex	icon_skills.fastwalk_tex	True
21	KnockDownChance	Buff	True	perc	900000	0	10	몰이사냥_리액션_저항 테스트			지액션 저항 확률 10배 증가	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
22	Attack	Buff	True	perc	1200000	0	1.4	테스트_스킬데미지증가			테스트 전용! 모든 스킬 데미지 40% 증가!	icon_skills.voidtrap_tex	icon_skills.voidtrap_tex	True
23	CritChance	Buff	True	abs	60000	0	1	자신 치명타 100%			자신의 공격이 100% 치명타가 된다. $BR테스트 전용			True
101	Immune	Buff	True	16	2000	0	0	기상 공격			효과가 지속되는 동안 리액션에 면역이 됩니다.	icon_skills.risingattack_tex	icon_skills.risingattack_tex	True
201	Power	Buff	True	abs	900000	0	17	힘의 축복 I			강인한 힘의 축복을 받아 힘이 $H_W_GOOD17.0$COLOR_END 향상됩니다.	icon_skills.attackup_tex	icon_skills.attackup_tex	True
202	Power	Buff	True	abs	900000	0	25	힘의 축복			강인한 힘의 축복을 받아 힘이 $H_W_GOOD25.0$COLOR_END 향상됩니다.	icon_skills.attackup_tex	icon_skills.attackup_tex	True
