60340120	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400015	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400060	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400080	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400100	Common	Common	Common	Infusion au noctenium (Off)			icon_items.union_supplies5_tex
8400120	Common	Common	Common	Infusion au noctenium (off)			icon_items.union_supplies5_tex
51016	Common	Common	Gunner	Tir en rafale X!	False		icon_skills.gatlingshot_tex
51026	Common	Common	Gunner	Feu de faisceau arcanique!	False		icon_skills.gatlingshot_awaken_tex
51036	Common	Common	Gunner	Feu de faisceau arcanique!	False		icon_skills.gatlingshot_awaken_tex
61122	Common	Common	Gunner	Bombe à retardement XI!	False	Boom	icon_skills.timebombshot_tex
71121	Common	Common	Gunner	Barrage arcanique!	False	Boom	icon_skills.arcaneshockshot01_tex
71122	Common	Common	Gunner	Barrage arcanique!	False	Boom	icon_skills.arcaneshockshot01_tex
410131	Common	Common	Warrior	Entaille verticale!	False	hit 2	icon_skills.tumblingattack_tex
80611	Common	Common	Archer	Rafale de flèches!	False	hit 1	icon_skills.rapidshot_tex
80612	Common	Common	Archer	Rafale de flèches!	False	hit 2	icon_skills.rapidshot_tex
80613	Common	Common	Archer	Rafale de flèches!	False	hit 3	icon_skills.rapidshot_tex
80614	Common	Common	Archer	Rafale de flèches!	False	hit 4	icon_skills.rapidshot_tex
360221	Common	Common	Sorcerer	Flammes du commencement	False	fire	icon_skills.primalfire_tex
360222	Common	Common	Sorcerer	Flammes du commencement	False	force	icon_skills.primalfire_tex
360224	Common	Common	Sorcerer	Flammes du commencement	False	ice	icon_skills.primalfire_tex
