40900	Arcane Pulse IX	level 0	
40920	Arcane Pulse IX	level 0	
40921	Arcane Pulse IX	level 1	
40922	Arcane Pulse IX	level 2	
40923	Arcane Pulse IX	level max	
70100	Backstep		
220400	Burning Breath IV		
240100	Burst of Celerity		
11200	Fireball XII		
60700	Fireblast VII		
81100	Flame Pillar XI		
200510	Flaming Barrage V		
180900	Glacial Retreat IX		
270420	Hail Storm IV		
21020	Ice Needle X		
30320	Lightning trap III		
111100	Magma Bomb XI		
111140	Magma Bomb XI		
100300	Mana Barrier III		
50200	Mana Infusion II		
190100	Mana Syphon		
190110	Mana Syphon		
190111	Mana Syphon		
230200	Mana Volley II		
130300	Mindblast III		
210100	Nerve Exhaustion		
300100	Nova		
90600	Overchannel VI		
160900	Painblast IX		
170620	Painful Trap VI		
141000	Retaliate X		
280100	Stone Skin		
260100	Teleport Jaunt		
250400	Time Gyre IV		
120620	Void Pulse VI		
290100	Vortex Prison I		
310100	Warp Barrier		
