48	2000	Belagerungswaffe	1101	Salve abfeuern	icon_skills.vehicleex_att01_tex
48	2000	Belagerungswaffe	1201	Absitzen	icon_skills.vehicleex_getoff_tex
116	1001	Luftschiff	1101	Abflug	icon_skills.vehicle_drive_tex
116	1001	Luftschiff	1201	Springen	icon_skills.vehicleex_getoff_tex
116	1002	Luftschiff	1102	Abflug	icon_skills.vehicle_drive_tex
116	1002	Luftschiff	1202	Springen	icon_skills.vehicleex_getoff_tex
116	4000	Belagerungswaffe	1101	Salve abfeuern	icon_skills.vehicleex_att01_tex
116	4000	Belagerungswaffe	1102	Salve abfeuern	icon_skills.vehicleex_att01_tex
116	4000	Belagerungswaffe	1201	Absitzen	icon_skills.vehicleex_getoff_tex
116	4001	Belagerungswaffe	1301	Salve abfeuern	icon_skills.vehicleex_att01_tex
116	4001	Belagerungswaffe	1302	Salve abfeuern	icon_skills.vehicleex_att01_tex
116	4001	Belagerungswaffe	1401	Absitzen	icon_skills.vehicleex_getoff_tex
116	4002	Belagerungswaffe	1501	Salve abfeuern	icon_skills.vehicleex_att01_tex
116	4002	Belagerungswaffe	1502	Salve abfeuern	icon_skills.vehicleex_att01_tex
116	4002	Belagerungswaffe	1503	Absitzen	icon_skills.vehicleex_getoff_tex
117	5000		1102	Bauchklatscher	icon_skills.kumas_frontjump_tex
117	5000		1103	3er Klaps	icon_skills.kumas_3combo_tex
117	5000		1104	Großer Wutanfall	icon_skills.kumas_energy_tex
117	5000		1105	Großer Wutanfall	icon_skills.kumas_energy_tex
117	5000		1111	Kräftiger Feueratem	icon_skills.kumas_breath_tex
117	5000		1212	Rückwärtssprung	icon_skills.kumas_backjump_tex
117	5000		1318	Fliegende Fäuste	icon_skills.kumas_rocketpunch_tex
117	5000		2201	Kumasreinigung	icon_skills.purify_tex
117	5000		2202	Kumasheilung	icon_skills.healarea_tex
117	6000		1102	Bauchklatscher	icon_skills.kumas_frontjump_tex
117	6000		1104	Wutanfall	icon_skills.kumas_energy_tex
117	6000		1105	Wutanfall	icon_skills.kumas_energy_tex
117	6000		1106	Feueratem	icon_skills.kumas_breath_tex
117	6000		1108	Rundumschlag mit Links	icon_skills.kumas_righthit_tex
