200003	Murderous Intent		
4999	Self-Destruct		
60193025	Kick		
60193026	Pig Pheromone		
60193027	Drum Beat		
60950510	Mutate (Balder's Gift)		
60950511	Stun (Balder's Gift)		
60950512	Fear (Balder's Gift)		
60950513	Light (Balder's Gift)		
60950514	Punish (Balder's Gift)		
60950515	Quake (Balder's Gift)		
61000100	Collectivist		
61000200	Adiar's Request		
61000300	Union Mission		
61000400	Derene's Request		
61000500	Hard Core		
61000600	Frateko's Request		
61001800	Tenacious Aura		
61001900	Enduring Aura		
61002000	Wholehearted Aura		
61190100	Arun's Tears		
61901000	Snow Barrage		
61902000	Set Us Up, Da Bomb		
62000100	Battle Standard		
62000110	Battle Standard		
62000120	Battle Standard		
62000200	Fortification		
62000210	Fortification		
62000220	Fortification		
62000300	Mad Dash		
62000310	Mad Dash		
62000320	Mad Dash		
62000400	Battle Prayer		
62000410	Battle Prayer		
62000420	Battle Prayer		
63000100	Exarch's XP Boost		
63000101	Location Scan		
63000102	Meteor		
63000103	Commander's Blessing		
63000104	Commander's Salvation		
63000105	Commander's Blessing		
63000106	Commander's Salvation		
63000107	Meteor		
63000108	Meteor		
63000109	Meteor		
63000110	Meteor		
63000111	Meteor		
63000112	Exarch's XP Boost I		
63000120	Exarch's XP Boost II		
63000130	Exarch's XP Boost III		
63000140	Exarch's XP Boost IV		
63000150	Exarch's XP Boost V		
63000160	Exarch's XP Boost VI		
63000200	Exarch's PvP Bolster		
63000210	Exarch's PvP Bolster I		
63000220	Exarch's PvP Bolster II		
63000230	Exarch's PvP Bolster III		
63000240	Exarch's PvP Bolster IV		
63000250	Exarch's PvP Bolster V		
63000260	Exarch's PvP Bolster VI		
63000300	Exarch's Fortitude		
63000310	Exarch's Fortitude I		
63000320	Exarch's Fortitude II		
63000330	Exarch's Fortitude III		
63000340	Exarch's Fortitude IV		
63000350	Exarch's Fortitude V		
63000360	Exarch's Fortitude VI		
8400010	Activate Noctenium Solution		
60220109	Healing Potion X
60220108	Healing Potion IX
60220107	Healing Potion VIII
60220106	Healing Potion VII
60220105	Healing Potion VI
60220104	Healing Potion V
60220103	Healing Potion IV
60220102	Healing Potion III
60220101	Healing Potion II
60220100	Healing Potion I
60221109	Healing Draught X
60221108	Healing Draught IX
60221107	Healing Draught VIII
60221106	Healing Draught VII
60221105	Healing Draught VI
60221104	Healing Draught V
60221103	Healing Draught IV
60221102	Healing Draught III
60221101	Healing Draught II
60221100	Healing Draught I
60220209	Mana Potion X
60220209	Mana Potion X
60220208	Mana Potion IX
60220207	Mana Potion VIII
60220206	Mana Potion VII
60220205	Mana Potion VI
60220204	Mana Potion V
60220203	Mana Potion IV
60220202	Mana Potion III
60220201	Mana Potion II
60220200	Mana Potion I
60221209	Mana Draught X
60221208	Mana Draught IX
60221207	Mana Draught VIII
60221206	Mana Draught VII
60221205	Mana Draught VI
60221204	Mana Draught V
60221203	Mana Draught IV
60221202	Mana Draught III
60221201	Mana Draught II
60221200	Mana Draught I
