21110	Arrow Volley XI		
100100	Stunning Trap I		
100200	Stunning Trap II		
100300	Stunning Trap III		
100400	Stunning Trap IV		
100420	Stunning Trap IV		
10100	Arrow I		
10200	Arrow II		
10300	Arrow III		
10400	Arrow IV		
10500	Arrow V		
10600	Arrow VI		
10700	Arrow VII		
10800	Arrow VIII		
10900	Arrow IX		
11000	Arrow X		
110100	Poison Trap I		
110200	Poison Trap II		
110300	Poison Trap III		
110400	Poison Trap IV		
110500	Poison Trap V		
11100	Arrow XI		
11200	Arrow XII		
120100	Velik's Mark I		
120200	Velik's Mark II		
120300	Velik's Mark III		
140100	Retaliate I		
140200	Retaliate II		
140300	Retaliate III		
140400	Retaliate IV		
140500	Retaliate V		
140600	Retaliate VI		
140700	Retaliate VII		
140800	Retaliate VIII		
140900	Retaliate IX		
141000	Retaliate X		
150100	Incendiary Trap I		
150200	Incendiary Trap II		
150300	Incendiary Trap III		
150400	Incendiary Trap IV		
150500	Incendiary Trap V		
150600	Incendiary Trap VI		
150700	Incendiary Trap VII		
150720	Incendiary Trap VII		
160100	Breakaway Bolt I		
160200	Breakaway Bolt II		
160300	Breakaway Bolt III		
160400	Breakaway Bolt IV		
160500	Breakaway Bolt V		
160600	Breakaway Bolt VI		
160700	Breakaway Bolt VII		
160800	Breakaway Bolt VIII		
160900	Breakaway Bolt IX		
161000	Breakaway Bolt X		
170100	Web Arrow I		
170200	Web Arrow II		
170300	Web Arrow III		
180100	Close Quarters I		
180200	Close Quarters II		
180300	Close Quarters III		
180400	Close Quarters IV		
180500	Close Quarters V		
180600	Close Quarters VI		
180700	Close Quarters VII		
180800	Close Quarters VIII		
180900	Close Quarters IX		
181000	Close Quarters X		
190100	Poison Arrow I		
190200	Poison Arrow II		
190300	Poison Arrow III		
190400	Poison Arrow IV		
190500	Poison Arrow V		
190600	Poison Arrow VI		
190700	Poison Arrow VII		
190800	Poison Arrow VIII		
200100	Restraining Arrow I		
200200	Restraining Arrow II		
20100	Arrow Volley I		
20110	Arrow Volley I		
20200	Arrow Volley II		
20210	Arrow Volley II		
20300	Arrow Volley III		
20310	Arrow Volley III		
20400	Arrow Volley IV		
20410	Arrow Volley IV		
20500	Arrow Volley V		
20510	Arrow Volley V		
20600	Arrow Volley VI		
20610	Arrow Volley VI		
20700	Arrow Volley VII		
20710	Arrow Volley VII		
20800	Arrow Volley VIII		
20810	Arrow Volley VIII		
20900	Arrow Volley IX		
20910	Arrow Volley IX		
21000	Arrow Volley X		
210100	Sniper's Eye I		
21010	Arrow Volley X		
210200	Sniper's Eye II		
21100	Arrow Volley XI		
220100	Final Salvo I		
220200	Final Salvo II		
220300	Final Salvo III		
220400	Final Salvo IV		
220500	Final Salvo V		
220600	Final Salvo VI		
220700	Final Salvo VII		
220800	Final Salvo VIII		
230100	Concussion Trap I		
230200	Concussion Trap II		
230220	Concussion Trap II		
240100	Ensnaring Trap I		
240200	Ensnaring Trap II		
240220	Ensnaring Trap II		
250100	Explosion Trap I		
250200	Explosion Trap II		
250220	Explosion Trap II		
280100	Eagle's Eye I		
280200	Eagle's Eye II		
290100	Thunderbolt		
30100	Radiant Arrow I		
30200	Radiant Arrow II		
30300	Radiant Arrow III		
30400	Radiant Arrow IV		
30500	Radiant Arrow V		
30600	Radiant Arrow VI		
30700	Radiant Arrow VII		
30800	Radiant Arrow VIII		
30900	Radiant Arrow IX		
30913	Radiant Arrow IV		
310100	Tenacity		
40100	Penetrating Arrow I		
40200	Penetrating Arrow II		
40300	Penetrating Arrow III		
40400	Penetrating Arrow IV		
40500	Penetrating Arrow V		
40600	Penetrating Arrow VI		
40700	Penetrating Arrow VII		
40800	Penetrating Arrow VIII		
40900	Penetrating Arrow IX		
41000	Penetrating Arrow X		
41100	Penetrating Arrow XI		
41200	Penetrating Arrow XII		
41213	Penetrating Arrow VII		
50100	Rain of Arrows I		
50200	Rain of Arrows II		
50220	Arrow rain II		
60100	Backstep		
70100	Feign Death I		
70200	Feign Death II		
70300	Feign Death III		
80100	Rapid Fire I		
80200	Rapid Fire II		
80300	Rapid Fire III		
80400	Rapid Fire IV		
80500	Rapid Fire V		
80600	Rapid Fire VI		
80700	Rapid Fire VII		
80800	Rapid Fire VIII		
80900	Rapid Fire IX		
90100	Slow Trap I		
90200	Slow Trap II		
90300	Slow Trap III		
90400	Slow Trap IV		
90500	Slow Trap V		
90600	Slow Trap VI		
90620	Slow Trap VI		
