1	1	Huile de minuit de Velika	0	30	icon_items.artisan_potion_tex
2	1	Parchemin de résurrection complète lié	0	1200	icon_items.perfect_revival_tex
3	1	Hydromel lié de Kaia	0	30	icon_items.hp_recovery_potion_tex
4	1	Parfum de Seren lié	0	30	icon_items.mp_recovery_potion_tex
5	1	Bandage lié de Lelyn	0	60	icon_items.perfect_bandage_tex
6	1	Talisman d'assaut supérieur lié	0	1	icon_items.shine_mysterypaper1_tex
7	1	Talisman éthéré supérieur lié	0	1	icon_items.shine_mysterypaper2_tex
8	1	Talisman sanguin supérieur lié	0	1	icon_items.shine_mysterypaper3_tex
9	1	Confettis de pétard liés	0	18000	icon_items.exp_buff_potion1_tex
10	1	Feux d'artifice liés	0	18000	icon_items.exp_buff_potion2_tex
11	3	Cardyl acharné lié du Collectionneur	0	0	icon_items.promotion_customize1_tex
12	3	Cardyl malin lié du Collectionneur	0	0	icon_items.promotion_customize2_tex
13	0	Graines de révolte	0	0	icon_items.pk_tex
14	0	Récompense de Catharnach	0	0	icon_items.medal1_tex
15	0	Alkahest	0	0	icon_items.enrichment_tex
16	0	Changer de nom	0	5184000	icon_items.charname_change_tex
17	3	Boucle d'oreille de roue citadine personnelle	0	0	icon_items.promotion_earring_tex
18	3	Pendentif de pionnier personnel	0	0	icon_items.promotion_necklace_tex
19	3	Anneau en sable de Seren personnel	0	0	icon_items.promotion_ring_tex
20	0	Compétence d'équitation : Hongre bai	0	0	icon_items.skillbook_rider1_tex
21	0	Compétence d'équitation : Hongre bai rapide	0	0	icon_items.skillbook_rider2_tex
22	1	Insigne de soutien	0	0	icon_items.icon_valkion_medal1_tex
23	1	Insigne de progression	0	0	icon_items.icon_valkion_medal2_tex
24	1	Insigne de dévouement	0	0	icon_items.icon_valkion_medal3_tex
25	1	Insigne de la ligne de front	0	0	icon_items.icon_valkion_medal_tex
26	1	Bougie de bourreau de travail	0	30	icon_items.artisan_potion_tex
27	1	Parchemin de résurrection complète	0	1200	icon_items.perfect_revival_tex
28	1	Hydromel de Kaia	0	30	icon_items.hp_recovery_potion_tex
29	1	Parfum de Seren	0	30	icon_items.mp_recovery_potion_tex
30	1	Bandage de Lelyn	0	60	icon_items.perfect_bandage_tex
31	1	Talisman d'assaut	0	1	icon_items.shine_mysterypaper1_tex
32	1	Talisman éthéré	0	1	icon_items.shine_mysterypaper2_tex
33	1	Talisman sanguin	0	1	icon_items.shine_mysterypaper3_tex
34	1	Confettis de pétard	0	18000	icon_items.exp_buff_potion1_tex
35	1	Feux d'artifice	0	18000	icon_items.exp_buff_potion2_tex
36	3	Cardyl acharné du Collectionneur	0	0	icon_items.promotion_customize1_tex
37	3	Cardyl malin du Collectionneur	0	0	icon_items.promotion_customize2_tex
38	3	Boucle d'oreille de roue citadine	0	0	icon_items.promotion_earring_tex
39	3	Pendentif de pionnier	0	0	icon_items.promotion_necklace_tex
40	3	Anneau en sable de Seren	0	0	icon_items.promotion_ring_tex
